Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,06-Feb-2026,24-Feb-2026,PE,26000.00,436.25,517.50,380.55,389.40,392.95,389.40,30375.00,522233.16,8895.66,2896920.00,-82745.00,25693.70
NIFTY,05-Feb-2026,24-Feb-2026,PE,26000.00,357.90,454.60,357.90,408.60,415.85,408.60,36637.00,628922.64,9757.34,2979665.00,-270985.00,25642.80
NIFTY,04-Feb-2026,24-Feb-2026,PE,26000.00,419.95,450.00,310.00,346.90,357.90,346.90,55581.00,952369.35,13050.45,3250650.00,73905.00,25776.00
NIFTY,03-Feb-2026,24-Feb-2026,PE,26000.00,271.45,489.00,270.65,385.15,387.65,385.15,171899.00,2949775.53,44682.43,3176745.00,1244035.00,25727.55
NIFTY,02-Feb-2026,24-Feb-2026,PE,26000.00,1285.00,1285.00,891.45,904.70,895.00,904.70,9194.00,161857.62,6479.02,1932710.00,-97240.00,25088.40
NIFTY,01-Feb-2026,24-Feb-2026,PE,26000.00,694.05,1392.60,624.50,1181.25,1231.35,1181.25,26757.00,467571.20,15377.90,2029950.00,-56615.00,24825.45
NIFTY,30-Jan-2026,24-Feb-2026,PE,26000.00,653.00,806.45,653.00,691.85,693.00,691.85,9441.00,164013.53,4460.63,2086565.00,5785.00,25320.65
NIFTY,29-Jan-2026,24-Feb-2026,PE,26000.00,746.95,830.25,593.00,609.10,610.00,609.10,9110.00,157993.72,4034.72,2080780.00,50505.00,25418.90
NIFTY,28-Jan-2026,24-Feb-2026,PE,26000.00,777.70,801.10,657.25,674.55,678.10,674.55,11157.00,193690.01,5136.71,2030275.00,1755.00,25342.75
NIFTY,27-Jan-2026,24-Feb-2026,PE,26000.00,850.00,1002.40,710.00,754.35,710.00,754.35,17119.00,298675.89,9364.79,2028520.00,173745.00,25175.40
NIFTY,23-Jan-2026,24-Feb-2026,PE,26000.00,689.45,930.00,679.00,902.80,899.55,902.80,16736.00,291410.20,8571.80,1854775.00,233935.00,25048.65
NIFTY,22-Jan-2026,24-Feb-2026,PE,26000.00,702.10,816.35,610.00,684.85,666.00,684.85,21521.00,373427.07,9722.17,1620840.00,-27690.00,25289.90
NIFTY,21-Jan-2026,24-Feb-2026,PE,26000.00,765.75,1009.75,696.60,815.25,800.00,815.25,21202.00,369470.15,11156.35,1648530.00,-213005.00,25157.50
NIFTY,20-Jan-2026,24-Feb-2026,PE,26000.00,521.95,768.00,500.30,746.00,735.60,746.00,12246.00,211949.92,4992.52,1861535.00,-48165.00,25232.50
NIFTY,19-Jan-2026,24-Feb-2026,PE,26000.00,445.00,550.00,445.00,503.70,519.00,503.70,14057.00,242247.60,4684.30,1909700.00,-14755.00,25585.50
NIFTY,16-Jan-2026,24-Feb-2026,PE,26000.00,417.00,441.10,327.85,421.50,424.00,421.50,15237.00,261301.29,3795.99,1924455.00,103025.00,25694.35
NIFTY,14-Jan-2026,24-Feb-2026,PE,26000.00,418.00,477.70,383.00,447.30,446.25,447.30,12963.00,222695.69,3620.99,1821430.00,102440.00,25665.60
NIFTY,13-Jan-2026,24-Feb-2026,PE,26000.00,374.55,487.45,355.75,414.25,418.50,414.25,12510.00,214818.19,3399.19,1718990.00,17225.00,25732.30
NIFTY,12-Jan-2026,24-Feb-2026,PE,26000.00,420.00,545.10,372.20,381.15,380.05,381.15,22859.00,393172.74,6855.64,1701765.00,9003.00,25790.25
NIFTY,09-Jan-2026,24-Feb-2026,PE,26000.00,365.55,461.95,324.75,429.00,420.00,429.00,18848.00,323461.72,4930.52,1692925.00,101270.00,25683.30
NIFTY,08-Jan-2026,24-Feb-2026,PE,26000.00,264.35,350.80,247.65,342.70,349.00,342.70,17765.00,303810.31,3581.81,1591655.00,87815.00,25876.85
NIFTY,07-Jan-2026,24-Feb-2026,PE,26000.00,249.25,265.00,230.20,242.00,241.15,242.00,8301.00,141618.93,1332.03,1503840.00,21840.00,26140.75
