Date,Settle Price,Underlying Value,Strike Price,Expiry,T,IV,Delta,Gamma,Vega
2025-11-26,319.65,26205.3,26000.0,24-Feb-2026,0.2465753424657534,0.3,-0.4071546430635493,9.941367179138899e-05,50.500454416230326
2025-11-27,296.7,26215.55,26000.0,24-Feb-2026,0.24383561643835616,0.3,-0.4064091781566146,9.988625920673722e-05,50.21599738148101
2025-11-28,293.35,26202.95,26000.0,24-Feb-2026,0.2410958904109589,0.3,-0.40794910249700733,0.00010059417476702085,49.95561051289847
2025-12-01,300.7,26175.75,26000.0,24-Feb-2026,0.2328767123287671,0.3,-0.4115818204269619,0.00010267904140108267,49.15043770493665
2025-12-02,326.5,26032.2,26000.0,24-Feb-2026,0.23013698630136986,0.3,-0.4268107975741225,0.000104687063842228,48.98041269489388
2025-12-03,342.6,25986.0,26000.0,24-Feb-2026,0.2273972602739726,0.3,-0.4320786925754566,0.00010575499511105624,48.717639832510805
2025-12-04,321.0,26033.75,26000.0,24-Feb-2026,0.22465753424657534,0.3,-0.4274320259911363,0.00010598056490470519,48.41076358199183
2025-12-05,266.3,26186.45,26000.0,24-Feb-2026,0.2219178082191781,0.3,-0.41165439869160037,0.00010514517830043529,48.00163434867694
2025-12-08,352.8,25960.55,26000.0,24-Feb-2026,0.2136986301369863,0.3,-0.4370109862323014,0.00010942467270665441,47.27875455922168
2025-12-09,379.35,25839.65,26000.0,24-Feb-2026,0.21095890410958903,0.3,-0.45085009058571374,0.00011119634831135895,46.98756011018714
2025-12-10,415.35,25758.0,26000.0,24-Feb-2026,0.20821917808219179,0.3,-0.4605679423990744,0.00011258691496853079,46.661014753846686
2025-12-11,352.1,25898.55,26000.0,24-Feb-2026,0.2054794520547945,0.3,-0.44533341712699154,0.00011220858403970739,46.39451456024842
2025-12-12,300.0,26046.95,26000.0,24-Feb-2026,0.20273972602739726,0.3,-0.42918332415388566,0.00011159565693793197,46.049100978848315
2025-12-15,302.25,26027.3,26000.0,24-Feb-2026,0.19452054794520549,0.3,-0.43264349425112314,0.00011418981219211742,45.14112034741393
2025-12-16,350.75,25860.1,26000.0,24-Feb-2026,0.1917808219178082,0.3,-0.4524369714868099,0.00011658824353338496,44.85817383990074
2025-12-17,362.8,25818.55,26000.0,24-Feb-2026,0.18904109589041096,0.3,-0.4578978327698708,0.00011780164209868381,44.53408375985104
2025-12-18,360.75,25815.55,26000.0,24-Feb-2026,0.1863013698630137,0.3,-0.458869996991206,0.00011870885199865254,44.21637881002185
